# R,G,B per-pixel gain multiplier
0.989563,0.964951,0.966109
0.987650,0.962472,0.965646
0.984449,0.961551,0.966262
0.987506,0.961404,0.964105
0.991871,0.959044,0.964669
0.987303,0.959410,0.966515
0.989178,0.962084,0.962943
0.989259,0.961161,0.965848
0.990189,0.964856,0.966193
0.986216,0.964900,0.963274
0.986247,0.961599,0.964363
0.990384,0.961745,0.963986
0.986930,0.963484,0.963833
0.987353,0.960494,0.963644
0.985029,0.958556,0.964983
0.988438,0.961039,0.964483
0.990288,0.959981,0.964958
0.985821,0.956575,0.961494
0.984806,0.956815,0.964711
0.982383,0.960671,0.962736
0.986743,0.958378,0.962919
0.984250,0.961206,0.962042
0.984699,0.959589,0.966233
0.985447,0.959335,0.962117
0.983017,0.960422,0.962292
0.983707,0.957225,0.963070
0.983240,0.959134,0.963639
0.982567,0.955830,0.961873
0.983359,0.961244,0.961445
0.986255,0.957718,0.960810
0.986017,0.959669,0.962724
0.986869,0.960749,0.961029
0.986182,0.963375,0.959947
0.985542,0.958051,0.961342
0.984405,0.961651,0.961227
0.985299,0.957704,0.961759
0.985215,0.960982,0.962682
0.985144,0.958960,0.960967
0.984886,0.959904,0.961352
0.984161,0.956113,0.957930
0.986241,0.958259,0.961857
0.986660,0.956293,0.959531
0.987476,0.959775,0.959559
0.985014,0.959228,0.958362
0.987827,0.959727,0.959820
0.983644,0.956969,0.961197
0.983950,0.959069,0.962942
0.984451,0.955946,0.959523
0.984007,0.959315,0.957684
0.987155,0.956592,0.960687
0.985374,0.959249,0.958685
0.983514,0.959032,0.962006
0.984565,0.959315,0.958703
0.983160,0.956709,0.961181
0.982643,0.958677,0.960343
0.981654,0.958751,0.960615
0.985604,0.956717,0.959900
0.983246,0.960313,0.958045
0.984316,0.959729,0.958310
0.984272,0.958661,0.957756
0.981285,0.955807,0.959609
0.985672,0.956502,0.960479
0.984563,0.957561,0.960411
0.981516,0.955517,0.956889
0.983359,0.956530,0.959304
0.984312,0.955925,0.958081
0.986237,0.956383,0.957608
0.984206,0.956347,0.958756
0.981703,0.955735,0.958111
0.981629,0.954353,0.954958
0.984384,0.956134,0.958041
0.981404,0.954108,0.957350
0.985681,0.954732,0.959017
0.982853,0.956817,0.958928
0.982203,0.952859,0.956854
0.980993,0.953531,0.955601
0.982035,0.957494,0.957154
0.981772,0.954427,0.956507
0.983188,0.955536,0.957060
0.982767,0.956930,0.956132
0.985246,0.956063,0.958074
0.981962,0.952563,0.954337
0.983141,0.953801,0.956471
0.980826,0.952166,0.955353
0.985057,0.954140,0.954455
0.984112,0.955249,0.957103
0.981776,0.952562,0.955876
0.981236,0.953626,0.954726
0.983411,0.959083,0.954668
0.980354,0.950708,0.951305
0.982888,0.952818,0.954166
0.978505,0.951904,0.951908
0.983400,0.950191,0.953389
0.981061,0.953622,0.952448
0.983227,0.952470,0.953399
0.981312,0.950024,0.952300
0.982090,0.952430,0.950699
0.983355,0.952901,0.950792
0.981008,0.950496,0.952134
0.980827,0.950621,0.949240
0.978340,0.951677,0.950534
