# R,G,B per-pixel gain multiplier
0.988317,0.960621,0.963880
0.990126,0.959506,0.964392
0.985510,0.956012,0.960817
0.984455,0.956390,0.964044
0.982072,0.960398,0.962106
0.986490,0.957877,0.962167
0.983994,0.960708,0.961402
0.984397,0.959086,0.965533
0.985197,0.958738,0.961395
0.982887,0.959774,0.961460
0.983350,0.956652,0.962288
0.982901,0.958688,0.962878
0.982166,0.955217,0.961159
0.983040,0.960714,0.960655
0.985928,0.957145,0.960125
0.985759,0.959096,0.962003
0.986567,0.960234,0.960302
0.985904,0.962888,0.959137
0.985131,0.957473,0.960637
0.984063,0.961158,0.960595
0.984902,0.957103,0.961023
0.984803,0.960397,0.962042
0.984801,0.958340,0.960367
0.984491,0.959405,0.960618
0.983835,0.955545,0.957160
0.985945,0.957679,0.961144
0.986244,0.955720,0.958890
0.987030,0.959261,0.958883
0.984641,0.958696,0.957646
0.987504,0.959137,0.959107
0.983291,0.956350,0.960479
0.983540,0.958431,0.962216
0.984104,0.955293,0.958697
0.983692,0.958836,0.956823
0.986778,0.956070,0.959943
0.985203,0.958652,0.957902
0.983244,0.958467,0.961423
0.984187,0.958906,0.957910
0.982749,0.956181,0.960533
0.982324,0.958138,0.959603
0.981277,0.958199,0.959865
0.985185,0.956212,0.959123
0.982879,0.959848,0.957233
0.983961,0.959175,0.957483
0.983939,0.958151,0.957013
0.981038,0.955170,0.958886
0.985275,0.956097,0.959912
0.984281,0.956971,0.959746
0.981195,0.954958,0.956095
0.983143,0.955914,0.958631
0.984047,0.955296,0.957404
0.985879,0.955881,0.956758
0.983918,0.955771,0.958090
0.981308,0.955239,0.957411
0.981169,0.953921,0.954146
0.984005,0.955633,0.957365
0.981048,0.953620,0.956604
0.985336,0.954184,0.958358
0.982388,0.956340,0.958334
0.981710,0.952268,0.956108
0.980579,0.952940,0.954870
0.981556,0.956888,0.956340
0.981355,0.953731,0.955731
0.982696,0.955014,0.956285
0.982386,0.956318,0.955324
0.984898,0.955453,0.957259
0.981603,0.951917,0.953545
0.982787,0.953242,0.955878
