# R,G,B per-pixel dark offset
935.47,640.24,583.02
932.26,638.13,582.30
935.12,636.63,582.80
934.14,638.67,584.87
932.19,637.67,582.41
950.40,640.09,584.85
933.84,640.35,585.23
936.93,639.91,583.31
944.60,639.40,583.24
935.89,639.15,583.57
938.37,640.30,585.17
935.22,642.98,582.58
936.00,641.02,583.60
937.39,640.60,584.33
932.66,648.47,584.42
934.04,640.73,597.95
935.36,642.38,585.26
935.16,640.62,586.63
935.61,640.51,591.87
935.86,641.00,585.48
934.44,639.86,585.56
937.28,639.94,586.89
935.29,640.30,585.38
936.14,641.57,585.40
937.67,639.66,586.34
937.61,641.58,586.33
937.61,643.63,586.65
954.74,642.52,587.12
937.99,642.70,586.95
939.96,641.63,587.65
937.93,643.21,586.14
938.23,642.42,587.15
939.58,640.95,585.23
939.06,642.17,590.76
941.82,642.62,586.55
939.28,644.08,587.47
941.05,643.00,584.84
938.27,642.06,585.03
939.25,641.86,585.65
938.71,643.77,586.78
938.47,643.74,586.46
937.59,643.34,585.07
939.79,644.77,588.17
938.92,640.44,586.07
940.79,642.15,586.03
942.25,641.83,588.18
939.99,641.74,586.99
938.72,642.35,588.44
938.14,641.25,587.06
940.07,642.94,588.55
939.00,645.79,585.55
939.82,644.83,588.19
952.98,694.35,585.69
937.48,641.67,589.38
940.54,640.95,586.65
939.91,642.44,587.09
943.69,643.51,586.12
942.23,642.88,586.63
941.85,642.20,586.75
942.08,644.67,586.88
940.88,651.93,590.77
940.72,643.53,587.26
939.52,642.97,587.23
940.20,643.51,584.93
942.93,643.42,587.60
941.58,642.83,588.42
944.89,645.41,588.36
943.80,642.74,586.10
944.01,643.41,587.37
952.30,644.30,586.67
943.53,643.93,589.76
942.54,646.26,586.18
939.94,642.63,586.00
942.13,642.99,588.35
938.77,645.61,584.99
943.36,643.52,587.02
942.68,646.02,590.39
939.75,643.15,589.83
940.69,653.70,588.05
943.11,643.66,585.51
940.50,644.45,585.20
940.49,642.96,586.27
943.42,645.01,585.06
940.42,644.20,587.97
940.85,645.80,587.19
940.16,643.85,588.52
940.06,641.60,589.04
939.82,644.38,587.26
941.36,644.19,586.82
941.55,645.59,586.44
939.05,641.56,586.08
942.22,642.37,586.81
938.91,641.63,587.86
940.16,642.50,586.75
937.36,641.44,585.88
941.05,642.24,586.10
938.86,643.85,586.97
939.97,643.40,590.31
939.31,641.75,587.78
941.02,642.08,586.06
938.21,643.19,587.27
940.91,646.93,586.31
939.47,646.20,586.54
939.32,643.25,587.77
941.52,642.77,586.83
939.73,642.56,587.53
937.36,643.19,588.64
937.50,644.82,586.77
942.14,643.31,585.06
939.59,642.09,586.50
940.76,640.32,588.26
938.01,641.62,587.91
938.75,642.94,587.13
938.48,651.08,586.90
939.00,642.24,586.33
939.72,641.11,595.53
937.76,641.97,585.24
941.45,643.77,585.11
938.21,642.50,587.16
937.53,641.23,583.53
938.86,642.82,587.01
938.65,642.59,587.47
938.70,640.64,588.74
936.76,642.22,585.56
